"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDS III-4 (Satellite Data System) (NRO L-1, Nemesis, USA 179)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,Elliptical,Molniya,0,500,39850,7.41E-01,63.4,717.7,,,,7-10 yrs.,Hughes,USA,Cape Canaveral,Atlas 2AS,2004-034A,28384,2004-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDS III-5 (Satellite Data System) (NRO L-24, Scorpius, USA 198)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,Elliptical,Molniya,0,400,39966,7.45E-01,60,718,,,,7-10 yrs.,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2007-060A,32378,2007-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDS III-6 (Satellite Data System) NRO L-27, Gryphon, USA 227)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,GEO,,-30.4,35770,35803,3.91E-04,4.92,14.36,,,,,National Reconnaissance Laboratory,USA,Cape Canaveral,Delta 4,2011-011A,37377,2011-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDS III-7 (Satellite Data System) NRO L-38, Drake, USA 236)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,GEO,,,35771,35805,4.03E-04,4.91,23.94,,,,,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2012-033A,38466,2012-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDS III-8 (Satellite Data System) NRO L-33, USA 252)",NR (1/15),USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,GEO,,0,35500,35500,0E+00,4,23,,,,,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2014-027A,39751,2014-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS-4 (Small Demonstration Satellite-4),Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,,LEO,Sun-Synchronous,0,661,673,8.53E-04,98.2,98.1,50,48,120,2 yrs.,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H-2A,2012-025C,38339,2012-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEEDS 2,Japan,Japan,Nihon University,Civil,Technology Development,,LEO,Sun-Synchronous,0,607,627,1.43E-03,97.8,97,3,,,,Nihon University,Japan,Sriharikota Launch Station,PSLV C9,2008-021J,32791,2008-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel 1A,ESA,ESA,European Space Agency,Government,Earth Observation,Earth Science,LEO,Polar,0,691,693,1.42E-04,98.16,98.61,2300,,,7 yrs.,Thales Alenia Space Italia,Italy,Guiana Space Center,Soyuz,2014-016A,39634,2014-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel 2A,NR,ESA,European Space Agency,Government,Earth Observation,Earth Science,LEO,Polar,0,787,788,6.99E-05,98.5,100.62,2300,,,7 yrs.,Airbus Defense and Space,France/UK/Germany,Guiana Space Center,Vega,2015-028A,40697,2015-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-1 (AMC-4R),USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-101,35781,35793,1.42E-04,0.05,1436.1,,2561,5000,15 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2010-016A,36516,2010-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-2,NR,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-87,35778,35798,2.37E-04,0.01,1436.19,3200,,5000,15-18 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2011-049A,37809,2011-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-3,NR,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-103,35850,35852,2.37E-05,0.05,1439.41,3112,,,15 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2011-035A,37748,2011-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-4,NR,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-22,35781,35792,1.3E-04,0.05,1436.1,,,20000,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2012-007A,38087,2012-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SES-5 (Sirius 5, Astra 4B)",United Kingdom,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,5,35783,35791,9.49E-05,0.13,1436.12,6007,,,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2012-036A,38652,2012-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-6,NR,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-40.5,35757,35816,7E-04,0.13,1436.09,6140,,,15 yrs.,EADS Astrium,France/UK/Germany,Baikonur Cosmodrome,Proton M,2013-026A,39172,2013-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SES-7 (Protostar 2, Indostar 2)",NR,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,108.02,35783,35790,8.3E-05,0.03,1436.1,4007,,,15 yrs.,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Breeze M,2009-027A,34941,2009-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-8,NR,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,95,35777,35795,2.13E-04,0.02,1436.07,3138,,,15 yrs.,Orbital Sciences Corp.,USA,Cape Canaveral,Falcon 9,2013-071A,39460,2013-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-01 (SJ-11-01),China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,686,703,1.2E-03,98.1,98.7,,,,3 yrs.,Chinese Academy of Space Technology (CAST)/ DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2009-061A,36088,2009-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-02 (SJ-11-02),China,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,686,704,1.27E-03,98.2,98.7,,,,,Chinese Academy of Space Technology (CAST/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2011-039A,37765,2011-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-03 (SJ-11-03),NR,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,688,703,1.06E-03,98.2,98.7,,,,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2011-030A,37730,2011-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-05 (SJ-11-05),China,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,689,704,1.06E-03,98.1,98.7,,,,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2013-035A,39202,2013-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-06 (SJ-11-06),China,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,688,704,1.13E-03,98.26,98.69,,,,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-014A,39624,2014-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-07 (SJ-11-07),NR (1/15),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,687,705,1.27E-03,98.12,98.69,,,,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-059A,40261,2014-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-08 (SJ-11-08),NR (1/15),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,690,705,1.06E-03,98.2,98.6,,,,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-066A,40286,2014-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 12 (SJ-12),China,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,583,601,1.29E-03,97.7,96.5,,,,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2010-027A,36596,2010-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 15 (SJ-15),NR,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,661,673,8.53E-04,98.06,98.08,,,,,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 3C,2013-037C,39210,2013-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 16 (SJ-16),China,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,599,616,1.22E-03,74.98,96.85,,,,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2013-057A,39358,2013-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shijian 6A (SJ-6A, Dong Fang Hong 60)",China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,579,606,1.94E-03,97.8,96.5,,,,2 yrs.,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2004-035A,28413,2004-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 6B (SJ-6B),China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,587,598,7.9E-04,97.8,96.5,,,,2 yrs.,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2004-035B,28414,2004-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 6C (SJ-6-02A),China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,591,594,2.15E-04,97.7,96.5,,,,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2006-046A,29505,2006-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 6D (SJ-6-02B),China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,594,595,7.18E-05,97.7,96.6,,,,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2006-046B,29506,2006-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shijian 6E (SJ6-03A, SJ-6E)",China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,581,607,1.87E-03,97.6,96.6,,,,3 yrs.,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2008-053A,33408,2008-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shijian 6F (SJ6-03B, SJ-6F)",China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,578,603,1.8E-03,97.6,96.5,,,,3 yrs.,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2008-053B,33409,2008-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 6G (SJ6-04A),China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0,584,603,1.36E-03,97.7,96.6,,,,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2010-051A,37179,2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 6H (SJ6_04B),China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0,586,602,1.15E-03,97.7,96.6,,,,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2010-051B,37180,2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shijian 7 (SJ7, Dong Fang Hong 65)",China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,534,591,4.11E-03,97.7,95.9,,,,3 yrs.,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Jiuquan Satellite Launch Center,Long March 2D,2005-024A,28737,2005-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 9A (SJ 9A),China,China,Shanghai Academy of Space Technology (CAST),Government,Technology Development,,LEO,,0,623,650,1.93E-03,97.99,97.44,,,,,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056A,38860,2012-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 9B (SJ 9B),China,China,Shanghai Academy of Space Technology (CAST),Government,Technology Development,,LEO,,0,624,651,1.93E-03,97.99,97.46,,,,,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056B,38861,2012-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shiyan 1 (SY 1, Tansuo 1, Experimental Satellite 1)",China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0,586,601,1.08E-03,97.5,96.6,204,,,,Chinese Research Institute of Space Technology/Changchun Photomechanical Institute (CAS),China,Xichang Satellite Launch Center,Long March 2C,2004-012A,28220,2004-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shiyan 3 (SY3, Experimental Satellite 3)",China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0,785,803,1.26E-03,98.5,100.8,300,,,,Harbin Institute of Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056A,33433,2008-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shiyan 4 (SY4, Experimental Satellite 4)",China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0,784,802,1.26E-03,98.4,100.7,300,,,,CAST/DFH Satellite/HIT,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068B,37931,2011-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
